ACTOR_SECURITY	${stringTableActorSecurityTitle}
SWITCH_INTERFACE|PRESS	${stringTableSwitchInterfacePress}
SWITCH_INTERFACE|STATE=FALSE	${stringTableSwitchInterfaceStateFalse}
SWITCH_INTERFACE|STATE=TRUE	${stringTableSwitchInterfaceStateTrue}

SWITCH_TRANSMIT	${stringTableSwitchTransmitTitle}

TEMPERATURE_COMFORT	${stringTableTemperatureComfort}
TEMPERATURE_LOWERING	${stringTableTemperatureLowering}
TEMPERATURE_MINIMUM	${stringTableTemperatureMinimum}
TEMPERATURE_MAXIMUM	${stringTableTemperatureMaximum}
TEMPERATUREFALL_MODUS	${stringTableTemperatureModus}
TEMPERATUREFALL_VALUE	${stringTableTemperatureValue}
TEMPERATUREFALL_WINDOW_OPEN	${stringTableTemperatureWindowOpen}
TEMPERATUREFALL_WINDOW_OPEN_TIME_PERIOD	${stringTableTemperatureOpenTimePeriod}

THERMALCONTROL_TRANSMIT	${stringTableThermalControlTitle}

TILT_SENSOR	${stringTableTiltSensorTitle}
TILT_SENSOR|EVENT_FILTERTIME	${stringTableTiltSensorEventFilterTime}
TILT_SENSOR|MSG_FOR_POS_A	${stringTableTiltSensorMsgPosA0}
TILT_SENSOR|MSG_FOR_POS_A=CLOSED	${stringTableTiltSensorMsgPosA1}
TILT_SENSOR|MSG_FOR_POS_A=NO_MSG	${stringTableTiltSensorMsgPosA2}
TILT_SENSOR|MSG_FOR_POS_A=OPEN	${stringTableTiltSensorMsgPosA3}
TILT_SENSOR|MSG_FOR_POS_B	${stringTableTiltSensorMsgPosB0}
TILT_SENSOR|MSG_FOR_POS_B=CLOSED	${stringTableTiltSensorMsgPosB1}
TILT_SENSOR|MSG_FOR_POS_B=NO_MSG	${stringTableTiltSensorMsgPosB2}
TILT_SENSOR|MSG_FOR_POS_B=OPEN	${stringTableTiltSensorMsgPosB3}
TILT_SENSOR|STATE=FALSE	${stringTableTiltSensorStateFalse}
TILT_SENSOR|STATE=TRUE	 ${stringTableTiltSensorStateTrue}
TRANSMIT_TRY_MAX	${stringTableTransmitTryMax}
TRANSMIT_DEV_TRY_MAX	${stringTableTransmitDevTryMax}
VENT_CLOSED	${stringTableVentClosed}
VENT_OPEN	${stringTableVentOpen}
VIRTUAL_DIMMER	${stringTableVirtualDimmerTitle}
VIRTUAL_DIMMER|ERROR=LOAD_FAILURE	${stringTableVirtualDimmerErrorLoadFailure}
VIRTUAL_DIMMER|ERROR_OVERLOAD	${stringTableDimmerErrorOverload}
VIRTUAL_DIMMER|ERROR_OVERHEAT	${stringTableDimmerErrorOverheat}
VIRTUAL_DIMMER|ERROR_REDUCED	${stringTableDimmerErrorReduced}
VIRTUAL_DIMMER|LOGIC_COMBINATION	${stringTableVirtualDimmerLogicCombination}
VIRTUAL_DIMMER|POWERUP_ACTION	${stringTableVirtualDimmerPowerUpAction}
VIRTUAL_DIMMER|STATUSINFO_MINDELAY	${stringTableVirtualDimmerStatusInfoMinDelay}
VIRTUAL_DIMMER|STATUSINFO_RANDOM	${stringTableVirtualDimmerStatusInfoRandom}
VIRTUAL_DIMMER|RAMP_STOP	${stringTableDimmerRampStop}
VIRTUAL_KEY	${stringTableVirtualKeyTitle}
VIRTUAL_KEY|LEVEL	${stringTableVirtualKeyLevel}
VOLUME_100$	{stringTableVolume10}
VOLUME_90	{stringTableVolume9}
VOLUME_80	{stringTableVolume8}
VOLUME_70	{stringTableVolume7}
VOLUME_60	{stringTableVolume6}
VOLUME_50	{stringTableVolume5}
VOLUME_40	{stringTableVolume4}
VOLUME_30	{stringTableVolume3}
VOLUME_20	{stringTableVolume2}
VOLUME_10	{stringTableVolume1}
VOLUME_0	{stringTableVolume0}
WATERDETECTIONSENSOR	${stringTableWDSTitle}
WATERDETECTIONSENSOR|EVENT_FILTERTIME	${stringTableWDSEventFilterTime}
WATERDETECTIONSENSOR|MSG_FOR_POS_A	${stringTableWDSMsgPosA0}
WATERDETECTIONSENSOR|MSG_FOR_POS_A=DRY	${stringTableWDSMsgPosA1}
WATERDETECTIONSENSOR|MSG_FOR_POS_A=NO_MSG	${stringTableWDSMsgPosA2}
WATERDETECTIONSENSOR|MSG_FOR_POS_B	${stringTableWDSMsgPosB0}
WATERDETECTIONSENSOR|MSG_FOR_POS_B=DRY	${stringTableWDSMsgPosB1}
WATERDETECTIONSENSOR|MSG_FOR_POS_B=NO_MSG	${stringTableWDSMsgPosB2}
WATERDETECTIONSENSOR|MSG_FOR_POS_B=WATER	${stringTableWDSMsgPosB3}
WATERDETECTIONSENSOR|MSG_FOR_POS_B=WET	${stringTableWDSMsgPosB4}
WATERDETECTIONSENSOR|MSG_FOR_POS_C	${stringTableWDSMsgPosC0}
WATERDETECTIONSENSOR|MSG_FOR_POS_C=NO_MSG	${stringTableWDSMsgPosC1}
WATERDETECTIONSENSOR|MSG_FOR_POS_C=WATER	${stringTableWDSMsgPosC2}
WATERDETECTIONSENSOR|MSG_FOR_POS_C=WET	${stringTableWDSMsgPosC3}
WATERDETECTIONSENSOR|STATE=DRY	${stringTableWDSStateDry}
WATERDETECTIONSENSOR|STATE=WATER	${stringTableWDSStateWater}
WATERDETECTIONSENSOR|STATE=WET	${stringTableWDSStateWet}
WATERDETECTIONSENSOR|EVENT_FILTERTIME	${stringTableWDSEventFilterTime}
WEATHER	${stringTableWeatherTitle}
WEATHER|AIR_PRESSURE	${stringTableWeatherAirPressure}
WEATHER|BRIGHTNESS	${stringTableWeatherBrightness}
WEATHER|HUMIDITY	${stringTableWeatherHumidity}
WEATHER|RAINING	${stringTableWeatherRaining}
WEATHER|RAINING=FALSE	${stringTableWeatherRainingFalse}
WEATHER|RAINING=TRUE	${stringTableWeatherRainingTrue}
WEATHER|RAIN_COUNTER	${stringTableWeatherRainCounter}
WEATHER|STORM_LOWER_THRESHOLD	${stringTableWeatherStormLowerThres}
WEATHER|STORM_UPPER_THRESHOLD	${stringTableWeatherStormUpperThres}
WEATHER|SUNSHINEDURATION	${stringTableWeatherSunshineDuration}
WEATHER|SUNSHINE_THRESHOLD	${stringTableWeatherSunshineThres}
WEATHER|TEMPERATURE	${stringTableWeatherTemperature}
WEATHER|WIND_DIRECTION	${stringTableWeatherWindDir}
WEATHER|WIND_DIRECTION_RANGE	${stringTableWeatherWindDirRange}
WEATHER|WIND_SPEED	${stringTableWeatherWindSpeed}
WEATHER_RECEIVER	${stringTableWeatherReceiver}

WEATHER_TRANSMIT|TEMPERATURE	${stringTableWeatherTemperature}
WEATHER_TRANSMIT|HUMIDITY	${stringTableWeatherHumidity}


WINDOW_SWITCH_RECEIVER	${stringTableWindowSwitchReceiver}
WINMATIC	${stringTableWinMaticTitle}
WINMATIC|ERROR=MOTOR_TILT_ERROR	${stringTableWinMaticErrorMotorTilt}
WINMATIC|ERROR=MOTOR_TURN_ERROR	${stringTableWinMaticErrorMotorTurn}
WINMATIC|LEVEL	${stringTableWinMaticLevel}
WINMATIC|LEVEL=LOCKED	${stringTableWinMaticLevelLocked}
WINMATIC|MOUNT_SIDE	${stringTableWinMaticMountSide}
WINMATIC|MOUNT_SIDE=LEFT	${stringTableWinMaticMountSideLeft}
WINMATIC|MOUNT_SIDE=RIGHT	${stringTableWinMaticMountSideRight}
WINMATIC|PULL_FORCE	${stringTableWinMaticPullForce}
WINMATIC|PUSH_FORCE	${stringTableWinMaticPushForce}
WINMATIC|RELOCK_DELAY	${stringTableWinMaticReLockDelay}
WINMATIC|RELOCK_DELAY=NOT_USED	${stringTableWinMaticReLockDelayNotUsed}
WINMATIC|SPEED	${stringTableWinMaticSpeed}
WINMATIC|STATE_UNCERTAIN=FALSE	${stringTableWinMaticStateUncertainFalse}
WINMATIC|STATE_UNCERTAIN=TRUE	${stringTableWinMaticStateUncertainTrue}
WINMATIC|STOP	${stringTableWinMaticStop}
WINMATIC|TILT_MAX	${stringTableWinMaticTiltMax}


AUTO_MODE	${stringTableClimateControlRTTransceiverAutoMode}
ACTUAL_HUMIDITY	${stringTableWeatherHumidity}
ACTUAL_TEMPERATURE	${stringTableClimateControlRTTransceiverActualTemp}
BATTERY_STATE	${stringTableClimateControlRTTransceiverBatteryState}
BOOST_MODE	${stringTableClimateControlRTTransceiverBoostMode}
BOOST_STATE	${stringTableBoostState}
COMFORT_MODE	${stringTableClimateControlRTTransceiverComfortMode}
COMMUNICATION_REPORTING	${stringTableCommunicatingReporting}
COMMUNICATION_REPORTING=TRUE	${stringTableCommunicatingReportingTrue}
COMMUNICATION_REPORTING=FALSE	${stringTableCommunicatingReportingFalse}
CONTROL_MODE=AUTO-MODE	${stringTableClimateControlRTTransceiverAutoMode}
CONTROL_MODE=BOOST-MODE	${stringTableClimateControlRTTransceiverBoostMode}
CONTROL_MODE=MANU-MODE	${stringTableClimateControlRTTransceiverManuMode}
CONTROL_MODE=PARTY-MODE	${stringTableClimateControlRTTransceiverPartyMode}
DEVICE_IN_BOOTLOADER	${stringTableDeviceInBootloader}
ERROR_POWER=NO_ERROR	${stringTablePowerAvailable}
ERROR_POWER=POWER_FAILURE	${stringTablePowerNotAvailable}
ERROR_SABOTAGE=NO_ERROR	${stringTableSabotageContactOk}
ERROR_SABOTAGE=SABOTAGE	${stringTableSabotage}
EXPECT_AES	${stringTableExpectAES}
LED_ONTIME	${stringTableLEDOnTime}
LEVEL	${stringTableDimmerLevel}
LEVEL_REAL	${stringTableDimmerLevelReal}
LOWBAT_REPORTING	${stringTableLowbatReporting}
LOWBAT_REPORTING=FALSE	${stringTableLowbatReportingFalse}
LOWBAT_REPORTING=TRUE	${stringTableLowbatReportingTrue}
LOWERING_MODE	${stringTableClimateControlRTTransceiverLoweringMode}
MANU_MODE	${stringTableClimateControlRTTransceiverManuMode}
NOT_USED	${stringTableNotUsed}
OLD_LEVEL	${stringTableDimmerOldLevel}
ON_TIME	${stringTableDimmerOnTime}

PARTY_MODE_SUBMIT	${stringTablePartyModeSubmit}
PARTY_START_DAY	${stringTablePartyStartDay}
PARTY_START_MONTH	${stringTablePartyStartMonth}
PARTY_START_TIME	${stringTablePartyStartTime}
PARTY_START_YEAR	${stringTablePartyStartYear}
PARTY_STOP_DAY	${stringTablePartyStopDay}
PARTY_STOP_MONTH	${stringTablePartyStopMonth}
PARTY_STOP_TIME	${stringTablePartyStopTime}
PARTY_STOP_YEAR	${stringTablePartyStopYear}
PARTY_TEMPERATURE	${stringTablePartyTemperature}

PEER_NEEDS_BURST	${stringTablePeerNeedsBurst}
POWERUP_ACTION	${stringTableDimmerPowerUpAction}
RAMP_TIME	${stringTableDimmerRampTime}
SET_TEMPERATURE	${stringTableClimateControlRTTransceiverSetTemperature}
UPDATE_PENDING	${stringTableUpdatePending}
VALVE_STATE	${stringTableClimateControlRTTransceiverVentPos}
WAKEUP_DEFAULT_CHANNEL	${stringTableWakeupDefaultChannel}
WAKEUP_BEHAVIOUR	${stringTableButtonResponseWithoutChannelChooser}

WINDOW_OPEN_REPORTING	${stringTableWindowOpenReporting}
WINDOW_OPEN_REPORTING=FALSE	${stringTableWindowOpenReportingFalse}
WINDOW_OPEN_REPORTING=TRUE	${stringTableWindowOpenReportingTrue}
WS_CS	${stringTableWSCS}
WS_TH	${stringTableWSTH}


